set,TE,rowsums.pseudobulk,rowsums.cellbycell,rowsums.bycluster,cells.pseudobulk,cells.individual,cells.clusters,sample.name
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.3e,3,3,3,3,3,3,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.3f,15,14,15,15,14,15,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.3h,6,5,6,6,5,6,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.3j,5,5,7,5,5,7,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.3k,4,3,3,4,3,3,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.3l,11,12,12,11,12,12,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,HERVH_9p24.2a,1,1,2,1,1,2,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_9p24.2a,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2c,3,3,3,2,2,2,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2d,2,2,2,2,2,2,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2e,4,4,5,4,4,5,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERV316A3_9p24.2a,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2f,10,10,10,6,6,6,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_9p24.2c,1,1,1,1,1,1,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2g,349,345,350,307,303,308,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2h,251,250,251,204,203,204,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERV316A3_9p24.2b,15,15,15,14,14,14,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2i,243,243,243,216,216,216,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2k,229,229,229,192,192,192,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2l,119,119,119,63,63,63,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,HERVH_9p24.2c,9,7,10,8,6,9,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2m,170,169,170,122,121,122,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2n,5,5,5,5,5,5,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2o,7,7,7,6,6,6,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.2p,24,21,23,23,20,22,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.1a,111,96,109,93,80,91,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,ERVLE_9p24.1a,73,73,73,64,64,64,10k_PBMC_3p_nextgem_Chromium_X
Pseudobulk:CellbyCell:ByCluster,L1FLnI_9p24.1b,64,64,64,56,56,56,10k_PBMC_3p_nextgem_Chromium_X
